iter	MAE	Tweedie:variance_power=1.5
0	41.98135932	85.20480071
1	41.97085581	84.43137856
2	41.9601002	83.66835283
3	41.9493605	82.91356477
4	41.93863046	82.16699985
5	41.92832831	81.42594722
6	41.91827561	80.69336093
7	41.90821435	79.9692008
8	41.89794828	79.25439209
9	41.8878505	78.54627315
10	41.87784539	77.84547222
11	41.86795894	77.15176291
12	41.85824207	76.46565331
13	41.84834924	75.78864979
14	41.83855235	75.11861799
15	41.82893109	74.45408384
16	41.819105	73.79899585
17	41.80932267	73.15134621
18	41.79964158	72.51112519
19	41.79022244	71.87612001
20	41.7806367	71.24961742
21	41.77105643	70.63012453
22	41.76149507	70.01746161
23	41.75228167	69.40759505
24	41.74297483	68.80829125
25	41.73392525	68.21303063
26	41.72489875	67.62331796
27	41.71590662	67.0401047
28	41.70694948	66.46409067
29	41.69799709	65.8933938
30	41.68914157	65.33064919
31	41.68033175	64.77197814
32	41.67157018	64.21988621
33	41.66276964	63.6760077
34	41.65382838	63.14029495
35	41.64489529	62.61074883
36	41.63627051	62.08322094
37	41.62778276	61.56177991
38	41.61931458	61.04586769
39	41.61083621	60.53759624
40	41.60224774	60.03653382
41	41.59359906	59.54185596
42	41.58511052	59.04903438
43	41.57678858	58.56320424
44	41.56850965	58.08229214
45	41.56008585	57.60975506
46	41.5519306	57.13779857
47	41.54380355	56.67337309
48	41.53544568	56.20874374
49	41.52736868	55.7520909
50	41.5192898	55.30004004
51	41.51114856	54.85887832
52	41.50323612	54.42073464
53	41.49542606	53.98507884
54	41.48762037	53.55467969
55	41.47983628	53.12847528
56	41.47195784	52.71126207
57	41.46402129	52.29446243
58	41.45639096	51.88316977
59	41.44864133	51.48080216
60	41.44098117	51.07669303
61	41.43337645	50.68266568
62	41.42565011	50.29507495
63	41.41803539	49.91137473
64	41.41057806	49.52631012
65	41.40286424	49.14236547
66	41.39546166	48.76527621
67	41.38804576	48.39922218
68	41.38079942	48.03185715
69	41.37363219	47.67174702
70	41.36642989	47.31253569
71	41.35915624	46.96342214
72	41.35192311	46.61105381
73	41.34484819	46.26480263
74	41.33775079	45.92734368
75	41.33061763	45.5949812
76	41.32362977	45.26535814
77	41.31661131	44.93234541
78	41.3098263	44.60699167
79	41.30250945	44.27856862
80	41.29544556	43.95607843
81	41.28872778	43.64199023
82	41.28138268	43.32438331
83	41.27420729	43.01120229
84	41.26733441	42.7040735
85	41.26079759	42.40447817
86	41.25420512	42.1087596
87	41.24741131	41.81183029
88	41.24097723	41.52305656
89	41.2345653	41.23682569
90	41.22829547	40.95441762
91	41.22148314	40.66945096
92	41.21502426	40.39102674
93	41.20866154	40.12255554
94	41.20233503	39.85112854
95	41.19608033	39.58873207
96	41.18987626	39.32997937
97	41.18369336	39.07450841
98	41.17611042	38.80643586
99	41.16995389	38.55774
100	41.16386158	38.31153946
101	41.15775859	38.06891426
102	41.15171907	37.8293494
103	41.14553896	37.58375297
104	41.13948503	37.34378952
105	41.13351865	37.10727789
106	41.12767405	36.87865002
107	41.12188463	36.65279321
108	41.11488539	36.41498318
109	41.1091457	36.19474453
110	41.10279531	35.96526445
