iter	Passed	Remaining
0	101	101590
1	178	89154
2	257	85429
3	329	82045
4	393	78251
5	461	76376
6	537	76267
7	621	77066
8	696	76723
9	758	75074
10	836	75231
11	905	74592
12	970	73660
13	1032	72707
14	1098	72152
15	1181	72672
16	1263	73050
17	1321	72112
18	1461	75461
19	1550	75979
20	1631	76054
21	1693	75296
22	1764	74959
23	1840	74829
24	1902	74191
25	1983	74315
26	2068	74524
27	2131	73979
28	2189	73320
29	2282	73794
30	2379	74370
31	2473	74836
32	2552	74809
33	2670	75860
34	2739	75524
35	2808	75200
36	2881	74984
37	2951	74721
38	3023	74495
39	3082	73973
40	3156	73839
41	3213	73300
42	3287	73173
43	3368	73177
44	3452	73266
45	3523	73079
46	3600	72998
47	3652	72450
48	3725	72314
49	3790	72013
50	3843	71523
51	3910	71285
52	3975	71032
53	4043	70842
54	4098	70423
55	4167	70258
56	4216	69754
57	4266	69298
58	4333	69119
59	4397	68892
60	4451	68521
61	4517	68339
62	4570	67975
63	4629	67710
64	4693	67515
65	4769	67493
66	4833	67314
67	4939	67693
68	5006	67545
69	5071	67378
70	5132	67155
71	5195	66959
72	5260	66799
73	5327	66664
74	5382	66386
75	5441	66160
76	5496	65881
77	5557	65698
78	5611	65418
79	5669	65203
80	5719	64896
81	5770	64606
82	5835	64466
83	5902	64365
84	5958	64146
85	6025	64033
86	6080	63814
87	6152	63766
88	6220	63677
89	6275	63456
90	6337	63307
91	6398	63150
92	6465	63053
93	6531	62949
94	6592	62799
95	6656	62686
96	6717	62538
97	6790	62502
98	6848	62324
99	6921	62290
100	6987	62197
101	7056	62121
102	7125	62050
103	7186	61910
104	7240	61719
105	7298	61557
106	7350	61343
107	7410	61203
108	7462	61001
109	7526	60897
110	7593	60820
111	7647	60632
112	7708	60512
113	7769	60385
114	7850	60413
115	7910	60281
116	7978	60214
117	8038	60085
118	8111	60054
119	8188	60049
120	8314	60402
121	8385	60348
122	8446	60221
123	8501	60058
124	8564	59954
125	8630	59868
126	8699	59803
127	8764	59708
128	8839	59684
129	8896	59537
130	8956	59415
131	9008	59240
132	9070	59131
133	9132	59018
134	9192	58903
135	9248	58756
136	9310	58646
137	9379	58586
138	9444	58501
139	9515	58451
140	9573	58321
141	9628	58177
142	9695	58103
143	9748	57947
144	9815	57875
145	9877	57776
146	9942	57692
147	10004	57591
148	10065	57488
149	10116	57328
150	10175	57209
151	10233	57090
152	10287	56949
153	10353	56874
154	10418	56800
155	10481	56707
156	10541	56602
157	10614	56565
158	10680	56489
159	10736	56368
160	10811	56340
161	10901	56389
162	10983	56398
163	11048	56319
164	11109	56221
165	11172	56130
166	11231	56023
167	11299	55961
168	11369	55906
169	11427	55794
170	11481	55662
171	11539	55550
172	11593	55419
173	11664	55372
174	11735	55324
175	11796	55228
176	11870	55195
177	11937	55127
178	11998	55032
179	12053	54911
180	12125	54867
181	12182	54756
182	12244	54666
183	12318	54629
184	12383	54554
185	12437	54430
186	12512	54397
187	12579	54334
188	12663	54337
189	12734	54290
190	12821	54308
191	12906	54316
192	12992	54324
193	13066	54284
194	13133	54218
195	13190	54108
196	13245	53992
197	13298	53866
198	13355	53756
199	13413	53654
200	13466	53529
201	13525	53430
202	13583	53330
203	13649	53259
204	13708	53162
205	13763	53048
206	13819	52939
207	13888	52883
208	13954	52812
209	14015	52724
210	14082	52658
211	14136	52544
212	14194	52444
213	14264	52392
214	14321	52290
215	14391	52235
216	14450	52140
217	14514	52064
218	14575	51980
219	14628	51864
220	14678	51738
221	14737	51648
222	14799	51565
223	14904	51634
224	14962	51535
225	15028	51470
226	15108	51448
227	15173	51375
228	15250	51344
229	15318	51283
230	15387	51226
231	15442	51119
232	15514	51071
233	15571	50972
234	15643	50923
235	15709	50855
236	15770	50772
237	15826	50672
238	15878	50558
239	15944	50491
240	16009	50420
241	16062	50310
242	16128	50244
243	16184	50146
244	16241	50049
245	16315	50008
246	16390	49966
247	16459	49909
248	16559	49945
249	16620	49860
250	16670	49746
251	16727	49650
252	16794	49586
253	16853	49497
254	16913	49414
255	16984	49359
256	17041	49268
257	17116	49226
258	17209	49236
259	17283	49190
260	17349	49122
261	17469	49206
262	17532	49131
263	17602	49074
264	17663	48991
265	17730	48924
